source_row,strategy,asset,symbol,side,opened_at,closed_at,timeframe_minutes,entry_price,exit_price,max_favorable_price,max_adverse_price,mfe_gross_eur,mae_gross_eur,mfe_net_eur,mae_net_eur,mfe_at_utc,mae_at_utc,full_candles_used,excursion_quality,algorithm_version,generated_utc
127,combo_adaptive,ETH,ETHUSDTM,LONG,2026-07-15T10:23:23+00:00,2026-07-15T13:00:00+00:00,60,1881.49,1935.676912,1935.676912,1876.71,19.999999999999957,-1.7642636657353616,18.888888888888847,-2.858210531053306,2026-07-15T13:00:00+00:00,2026-07-15T11:00:00+00:00,2,HISTORICAL_OHLC_1H_CONSERVATIVE_PARTIAL_CANDLES,HISTORICAL_OHLC_1H_CONSERVATIVE_V1,2026-07-23T04:10:52.902386+00:00
144,combo_adaptive,PEPE,PEPEUSDTM,SHORT,2026-07-15T14:02:36+00:00,2026-07-15T16:00:00+00:00,60,2.8962e-06,2.76134119839e-06,2.76134119839e-06,2.8962e-06,20.000004295159926,-0.0,19.31277870219162,-0.7036069884638989,2026-07-15T16:00:00+00:00,2026-07-15T14:02:36+00:00,1,HISTORICAL_OHLC_1H_CONSERVATIVE_PARTIAL_CANDLES,HISTORICAL_OHLC_1H_CONSERVATIVE_V1,2026-07-23T04:10:54.552618+00:00
153,combo_adaptive,AKE,AKEUSDTM,LONG,2026-07-15T17:23:15+00:00,2026-07-15T18:00:00+00:00,60,0.00065089,0.0005727832,0.00065089,0.0005727832,0.0,-10.000000000000007,-0.1418439716312057,-10.13333333333334,2026-07-15T17:23:15+00:00,2026-07-15T18:00:00+00:00,0,HISTORICAL_OHLC_1H_CONSERVATIVE_PARTIAL_CANDLES,HISTORICAL_OHLC_1H_CONSERVATIVE_V1,2026-07-23T04:10:51.545256+00:00
170,combo_adaptive,HYPE,HYPEUSDTM,LONG,2026-07-15T10:23:23+00:00,2026-07-16T00:00:00+00:00,60,67.951,66.65239183655,69.026,66.65239183655,8.278093656396404,-9.999999999999986,7.426113748506745,-10.837216360254185,2026-07-15T13:00:00+00:00,2026-07-16T00:00:00+00:00,13,HISTORICAL_OHLC_1H_CONSERVATIVE_PARTIAL_CANDLES,HISTORICAL_OHLC_1H_CONSERVATIVE_V1,2026-07-23T04:10:53.461165+00:00
178,combo_adaptive,ZEC,ZECUSDTM,LONG,2026-07-15T10:23:23+00:00,2026-07-16T08:00:00+00:00,60,565.09,550.8574793839001,588.59,550.8574793839001,16.51148144020007,-9.999999999999943,15.854735508287762,-10.635266250011359,2026-07-15T12:00:00+00:00,2026-07-16T08:00:00+00:00,21,HISTORICAL_OHLC_1H_CONSERVATIVE_PARTIAL_CANDLES,HISTORICAL_OHLC_1H_CONSERVATIVE_V1,2026-07-23T04:10:55.684371+00:00
187,combo_adaptive,ETH,ETHUSDTM,LONG,2026-07-15T14:02:36+00:00,2026-07-16T08:00:00+00:00,60,1927.97,1898.3834302190999,1936.91,1898.3834302190999,3.021641260275934,-10.000000000000055,1.968524390508574,-11.042619006814222,2026-07-15T15:00:00+00:00,2026-07-16T08:00:00+00:00,17,HISTORICAL_OHLC_1H_CONSERVATIVE_PARTIAL_CANDLES,HISTORICAL_OHLC_1H_CONSERVATIVE_V1,2026-07-23T04:10:52.903069+00:00
197,combo_adaptive,AKE,AKEUSDTM,LONG,2026-07-16T01:10:09+00:00,2026-07-16T07:00:00+00:00,60,0.00071189,0.0008827436,0.0008827436,0.0007041,20.0,-0.9118918184925486,19.866666666666667,-1.0302880862412445,2026-07-16T07:00:00+00:00,2026-07-16T06:00:00+00:00,5,HISTORICAL_OHLC_1H_CONSERVATIVE_PARTIAL_CANDLES,HISTORICAL_OHLC_1H_CONSERVATIVE_V1,2026-07-23T04:10:51.545693+00:00
224,combo_adaptive,AKE,AKEUSDTM,LONG,2026-07-16T09:22:54+00:00,2026-07-16T17:00:00+00:00,60,0.00085606,0.0010615143999999999,0.0010615143999999999,0.00076446,19.999999999999993,-8.916820472085286,19.86666666666666,-9.029498933652844,2026-07-16T17:00:00+00:00,2026-07-16T10:00:00+00:00,7,HISTORICAL_OHLC_1H_CONSERVATIVE_PARTIAL_CANDLES,HISTORICAL_OHLC_1H_CONSERVATIVE_V1,2026-07-23T04:10:51.546123+00:00
233,combo_adaptive,HYPE,HYPEUSDTM,SHORT,2026-07-16T13:07:43+00:00,2026-07-16T17:00:00+00:00,60,65.489,63.29852589267001,63.29852589267001,66.187,19.99999402056564,-6.3730476336790565,19.043284527197134,-7.351214411677248,2026-07-16T17:00:00+00:00,2026-07-16T14:00:00+00:00,3,HISTORICAL_OHLC_1H_CONSERVATIVE_PARTIAL_CANDLES,HISTORICAL_OHLC_1H_CONSERVATIVE_V1,2026-07-23T04:10:53.461510+00:00
239,combo_adaptive,BTC,XBTUSDTM,LONG,2026-07-15T10:23:23+00:00,2026-07-16T23:00:00+00:00,60,64722.3,63790.29888,65570.9,63790.29888,9.105139272793911,-10.000000000000009,7.978633206587881,-11.11111111111112,2026-07-15T15:00:00+00:00,2026-07-16T23:00:00+00:00,36,HISTORICAL_OHLC_1H_CONSERVATIVE_PARTIAL_CANDLES,HISTORICAL_OHLC_1H_CONSERVATIVE_V1,2026-07-23T04:10:52.100052+00:00
246,combo_adaptive,XLM,XLMUSDTM,LONG,2026-07-16T13:07:43+00:00,2026-07-16T23:00:00+00:00,60,0.18978,0.18556297263420002,0.19277,0.18556297263420002,7.090302577234446,-9.999999999999966,6.3564244859557375,-10.720052239789963,2026-07-16T16:00:00+00:00,2026-07-16T23:00:00+00:00,9,HISTORICAL_OHLC_1H_CONSERVATIVE_PARTIAL_CANDLES,HISTORICAL_OHLC_1H_CONSERVATIVE_V1,2026-07-23T04:10:55.118018+00:00
263,combo_adaptive,HYPE,HYPEUSDTM,SHORT,2026-07-16T19:24:41+00:00,2026-07-17T05:00:00+00:00,60,62.384,59.64006097056,59.64006097056,62.784,19.999999999999996,-2.9155166766342693,19.272473630579384,-3.6617876979667696,2026-07-17T05:00:00+00:00,2026-07-16T20:00:00+00:00,9,HISTORICAL_OHLC_1H_CONSERVATIVE_PARTIAL_CANDLES,HISTORICAL_OHLC_1H_CONSERVATIVE_V1,2026-07-23T04:10:53.461920+00:00
269,combo_adaptive,LAB,LABUSDTM,SHORT,2026-07-15T10:23:23+00:00,2026-07-17T07:00:00+00:00,60,0.24278,0.1845128,0.1845128,0.26825,20.0,-8.742482906334953,19.866666666666667,-8.901945769583136,2026-07-17T07:00:00+00:00,2026-07-16T00:00:00+00:00,44,HISTORICAL_OHLC_1H_CONSERVATIVE_PARTIAL_CANDLES,HISTORICAL_OHLC_1H_CONSERVATIVE_V1,2026-07-23T04:10:53.743411+00:00
280,combo_adaptive,ONDO,ONDOUSDTM,LONG,2026-07-16T15:09:34+00:00,2026-07-16T21:00:00+00:00,60,0.3823,0.36791978167699996,0.3895,0.36791978167699996,5.006878086464252,-10.000000000000014,4.569280353000467,-10.42536210943452,2026-07-16T16:00:00+00:00,2026-07-16T21:00:00+00:00,5,HISTORICAL_OHLC_1H_CONSERVATIVE_PARTIAL_CANDLES,HISTORICAL_OHLC_1H_CONSERVATIVE_V1,2026-07-23T04:10:54.284451+00:00
292,combo_adaptive,HYPE,HYPEUSDTM,SHORT,2026-07-17T06:30:10+00:00,2026-07-17T09:00:00+00:00,60,59.232,60.79591019616,58.452,60.79591019616,4.98749865507112,-10.000000000000012,4.393343669984873,-10.605988759666007,2026-07-17T07:00:00+00:00,2026-07-17T09:00:00+00:00,2,HISTORICAL_OHLC_1H_CONSERVATIVE_PARTIAL_CANDLES,HISTORICAL_OHLC_1H_CONSERVATIVE_V1,2026-07-23T04:10:53.462193+00:00
