generated_utc,category,rank,strategy_id,family_id,portfolio,lifecycle_status,evolution_score,grade,closed_trades,matched_pairs,profit_factor,expectancy_r,max_drawdown_r
2026-08-11T14:14:50+00:00,ALL_TIME,1,portfolio-ec4f81fe1de280de7ed3,shadow-1h-fast-score-6-75-cost-aware-v1,SHADOW_1H_FAST_SCORE_6_75_COST_AWARE_V1,BASELINE,20.37,E,40,0,1.8612289097695462,0.29295051930958294,3.315960720856424
2026-08-11T14:14:50+00:00,ALL_TIME,2,portfolio-7eac24fb119f6c5ee908,shadow-1h-fast-score-6-75-no-trend-up-v1,SHADOW_1H_FAST_SCORE_6_75_NO_TREND_UP_V1,BASELINE,18.93,E,37,0,1.7592742570383693,0.28283018725801146,4.188353424950249
2026-08-11T14:14:50+00:00,ALL_TIME,3,portfolio-218242a9cd930220dac2,shadow-1h-fast-nohigh-cap75-v1,SHADOW_1H_FAST_NOHIGH_CAP75_V1,BASELINE,18.66,E,68,0,1.555561795530123,0.21445788449694608,5.398987112949565
2026-08-11T14:14:50+00:00,ALL_TIME,4,portfolio-2d1db8d4e7c9b6737ed5,shadow-1h-fast-nohigh-cap75-short-only-v1,SHADOW_1H_FAST_NOHIGH_CAP75_SHORT_ONLY_V1,BASELINE,18.51,E,32,0,1.893055739363117,0.2726315856466734,3.8959831687130793
2026-08-11T14:14:50+00:00,ALL_TIME,5,portfolio-75e764a8b5f3bac742b9,shadow-1h-fast-score-6-75-v1,SHADOW_1H_FAST_SCORE_6_75_V1,BASELINE,18.22,E,79,0,1.382783846326223,0.14131775416120237,3.7826146516687027
2026-08-11T14:14:50+00:00,ALL_TIME,6,portfolio-74340d3089b701fbbc4a,shadow-combo-adaptive-side-regime-guard-v1,SHADOW_COMBO_ADAPTIVE_SIDE_REGIME_GUARD_V1,BASELINE,17.3,E,39,0,1.668539925158465,0.27001049418894957,6.5398499775643515
2026-08-11T14:14:50+00:00,ALL_TIME,7,portfolio-957b2cb822007458d9c4,shadow-1h-fast-no-pepe-v1,SHADOW_1H_FAST_NO_PEPE_V1,BASELINE,16.2,E,75,0,1.2576152822395288,0.1060465235616537,4.118140321306727
2026-08-11T14:14:50+00:00,ALL_TIME,8,portfolio-64f18e5c18eb6ebf4e08,shadow-1h-fast-v3,SHADOW_1H_FAST_V3,BASELINE,15.85,E,104,0,1.098945518123978,0.04125140074275517,6.537050550187364
2026-08-11T14:14:50+00:00,ALL_TIME,9,portfolio-9da609258ab55b372664,shadow-combo-adaptive,SHADOW_COMBO_ADAPTIVE,BASELINE,15.71,E,43,0,1.546418993822065,0.166068206889118,2.722427980646917
2026-08-11T14:14:50+00:00,ALL_TIME,10,portfolio-8a181ed9bb10700026fc,shadow-donchian-1h,SHADOW_DONCHIAN_1H,BASELINE,15.66,E,42,0,1.5059093565544128,0.2643328055077476,8.54556987772249
2026-08-11T14:14:50+00:00,ALL_TIME,11,portfolio-819df6e454a22a88bd0a,shadow-1h-fast-v3-nohigh-v1,SHADOW_1H_FAST_V3_NOHIGH_V1,BASELINE,14.21,E,65,0,1.229567174773733,0.1005970914528969,5.534120465100367
2026-08-11T14:14:50+00:00,ALL_TIME,12,portfolio-2be30fda23278e335fda,shadow-1h-fast-v3-no-esports-mfe-lock-v1,SHADOW_1H_FAST_V3_NO_ESPORTS_MFE_LOCK_V1,BASELINE,13.46,E,60,0,1.1829022710995012,0.06267940473124471,7.080199766955203
2026-08-11T14:14:50+00:00,ALL_TIME,13,portfolio-8e32aa94f6b1b6ac1ac6,shadow-1h-fast-v3-cap75-v1,SHADOW_1H_FAST_V3_CAP75_V1,BASELINE,13.44,E,69,0,1.112923404760506,0.05047910689070806,6.353220607426279
2026-08-11T14:14:50+00:00,ALL_TIME,14,portfolio-98352068c6b959be884d,shadow-1h-balanced-v3,SHADOW_1H_BALANCED_V3,BASELINE,13.12,E,68,0,1.19350858608968,0.09439259815562544,8.175601408897272
2026-08-11T14:14:50+00:00,ALL_TIME,15,portfolio-10b34d60ef4a5a8f1cbd,shadow-combo-trend-side-regime-guard-v1,SHADOW_COMBO_TREND_SIDE_REGIME_GUARD_V1,BASELINE,12.34,E,33,0,1.2770853889132836,0.12099093187856744,5.483143260142959
2026-08-11T14:14:50+00:00,ALL_TIME,16,portfolio-275cb3af75fb8f30b69b,shadow-scanner-top5-long,SHADOW_SCANNER_TOP5_LONG,BASELINE,12.22,E,50,0,1.295758511203537,0.1382485962572703,10.325011414906246
2026-08-11T14:14:50+00:00,ALL_TIME,17,portfolio-8b3b1ebc38a7956fb73c,shadow-1h-fast-v3-no-esports-v1,SHADOW_1H_FAST_V3_NO_ESPORTS_V1,BASELINE,12.21,E,78,0,1.0067906597810774,0.003030887940814028,6.537050550187364
2026-08-11T14:14:50+00:00,ALL_TIME,18,portfolio-0a0a90ccde67415644d5,shadow-1h-fast,SHADOW_1H_FAST,BASELINE,9.88,E,78,0,1.027291226945596,0.012421385601833299,13.480875976232651
2026-08-11T14:14:50+00:00,ALL_TIME,19,portfolio-c5f749c477b79e41c9b3,shadow-combo-adaptive-runner25-v1,SHADOW_COMBO_ADAPTIVE_RUNNER25_V1,BASELINE,9.64,E,48,0,1.0482767292527018,0.024133397812901358,6.8503754963085415
2026-08-11T14:14:50+00:00,ALL_TIME,20,portfolio-a0ddc7095998cad2c7cf,shadow-scanner-top5-btc,SHADOW_SCANNER_TOP5_BTC,BASELINE,9.27,E,41,0,1.1326702109862827,0.06483062383991277,9.292708776261337
2026-08-11T14:14:50+00:00,BASELINE,1,portfolio-ec4f81fe1de280de7ed3,shadow-1h-fast-score-6-75-cost-aware-v1,SHADOW_1H_FAST_SCORE_6_75_COST_AWARE_V1,BASELINE,20.37,E,40,0,1.8612289097695462,0.29295051930958294,3.315960720856424
2026-08-11T14:14:50+00:00,BASELINE,2,portfolio-7eac24fb119f6c5ee908,shadow-1h-fast-score-6-75-no-trend-up-v1,SHADOW_1H_FAST_SCORE_6_75_NO_TREND_UP_V1,BASELINE,18.93,E,37,0,1.7592742570383693,0.28283018725801146,4.188353424950249
2026-08-11T14:14:50+00:00,BASELINE,3,portfolio-218242a9cd930220dac2,shadow-1h-fast-nohigh-cap75-v1,SHADOW_1H_FAST_NOHIGH_CAP75_V1,BASELINE,18.66,E,68,0,1.555561795530123,0.21445788449694608,5.398987112949565
2026-08-11T14:14:50+00:00,BASELINE,4,portfolio-2d1db8d4e7c9b6737ed5,shadow-1h-fast-nohigh-cap75-short-only-v1,SHADOW_1H_FAST_NOHIGH_CAP75_SHORT_ONLY_V1,BASELINE,18.51,E,32,0,1.893055739363117,0.2726315856466734,3.8959831687130793
2026-08-11T14:14:50+00:00,BASELINE,5,portfolio-75e764a8b5f3bac742b9,shadow-1h-fast-score-6-75-v1,SHADOW_1H_FAST_SCORE_6_75_V1,BASELINE,18.22,E,79,0,1.382783846326223,0.14131775416120237,3.7826146516687027
2026-08-11T14:14:50+00:00,BASELINE,6,portfolio-74340d3089b701fbbc4a,shadow-combo-adaptive-side-regime-guard-v1,SHADOW_COMBO_ADAPTIVE_SIDE_REGIME_GUARD_V1,BASELINE,17.3,E,39,0,1.668539925158465,0.27001049418894957,6.5398499775643515
2026-08-11T14:14:50+00:00,BASELINE,7,portfolio-957b2cb822007458d9c4,shadow-1h-fast-no-pepe-v1,SHADOW_1H_FAST_NO_PEPE_V1,BASELINE,16.2,E,75,0,1.2576152822395288,0.1060465235616537,4.118140321306727
2026-08-11T14:14:50+00:00,BASELINE,8,portfolio-64f18e5c18eb6ebf4e08,shadow-1h-fast-v3,SHADOW_1H_FAST_V3,BASELINE,15.85,E,104,0,1.098945518123978,0.04125140074275517,6.537050550187364
2026-08-11T14:14:50+00:00,BASELINE,9,portfolio-9da609258ab55b372664,shadow-combo-adaptive,SHADOW_COMBO_ADAPTIVE,BASELINE,15.71,E,43,0,1.546418993822065,0.166068206889118,2.722427980646917
2026-08-11T14:14:50+00:00,BASELINE,10,portfolio-8a181ed9bb10700026fc,shadow-donchian-1h,SHADOW_DONCHIAN_1H,BASELINE,15.66,E,42,0,1.5059093565544128,0.2643328055077476,8.54556987772249
2026-08-11T14:14:50+00:00,BASELINE,11,portfolio-819df6e454a22a88bd0a,shadow-1h-fast-v3-nohigh-v1,SHADOW_1H_FAST_V3_NOHIGH_V1,BASELINE,14.21,E,65,0,1.229567174773733,0.1005970914528969,5.534120465100367
2026-08-11T14:14:50+00:00,BASELINE,12,portfolio-2be30fda23278e335fda,shadow-1h-fast-v3-no-esports-mfe-lock-v1,SHADOW_1H_FAST_V3_NO_ESPORTS_MFE_LOCK_V1,BASELINE,13.46,E,60,0,1.1829022710995012,0.06267940473124471,7.080199766955203
2026-08-11T14:14:50+00:00,BASELINE,13,portfolio-8e32aa94f6b1b6ac1ac6,shadow-1h-fast-v3-cap75-v1,SHADOW_1H_FAST_V3_CAP75_V1,BASELINE,13.44,E,69,0,1.112923404760506,0.05047910689070806,6.353220607426279
2026-08-11T14:14:50+00:00,BASELINE,14,portfolio-98352068c6b959be884d,shadow-1h-balanced-v3,SHADOW_1H_BALANCED_V3,BASELINE,13.12,E,68,0,1.19350858608968,0.09439259815562544,8.175601408897272
2026-08-11T14:14:50+00:00,BASELINE,15,portfolio-10b34d60ef4a5a8f1cbd,shadow-combo-trend-side-regime-guard-v1,SHADOW_COMBO_TREND_SIDE_REGIME_GUARD_V1,BASELINE,12.34,E,33,0,1.2770853889132836,0.12099093187856744,5.483143260142959
2026-08-11T14:14:50+00:00,BASELINE,16,portfolio-275cb3af75fb8f30b69b,shadow-scanner-top5-long,SHADOW_SCANNER_TOP5_LONG,BASELINE,12.22,E,50,0,1.295758511203537,0.1382485962572703,10.325011414906246
2026-08-11T14:14:50+00:00,BASELINE,17,portfolio-8b3b1ebc38a7956fb73c,shadow-1h-fast-v3-no-esports-v1,SHADOW_1H_FAST_V3_NO_ESPORTS_V1,BASELINE,12.21,E,78,0,1.0067906597810774,0.003030887940814028,6.537050550187364
2026-08-11T14:14:50+00:00,BASELINE,18,portfolio-0a0a90ccde67415644d5,shadow-1h-fast,SHADOW_1H_FAST,BASELINE,9.88,E,78,0,1.027291226945596,0.012421385601833299,13.480875976232651
2026-08-11T14:14:50+00:00,BASELINE,19,portfolio-c5f749c477b79e41c9b3,shadow-combo-adaptive-runner25-v1,SHADOW_COMBO_ADAPTIVE_RUNNER25_V1,BASELINE,9.64,E,48,0,1.0482767292527018,0.024133397812901358,6.8503754963085415
2026-08-11T14:14:50+00:00,BASELINE,20,portfolio-a0ddc7095998cad2c7cf,shadow-scanner-top5-btc,SHADOW_SCANNER_TOP5_BTC,BASELINE,9.27,E,41,0,1.1326702109862827,0.06483062383991277,9.292708776261337
